,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
1861,2010,GMC,SIERRA 1500 DOUBLE CAB,82,84,59,89
1862,2010,GMC,SIERRA 1500 LIMITED DOUBLE CAB,82,84,59,89
1863,2010,GMC,TERRAIN,73,74,78,73
1864,2010,HONDA,ACCORD CROSSTOUR,76,84,66,79
1865,2010,HONDA,ACCORD,76,84,66,79
1866,2010,HONDA,CR-V,74,87,63,81
1867,2010,HONDA,ELEMENT,67,82,66,77
1868,2010,HONDA,FIT,63,73,68,77
1869,2010,HONDA,INSIGHT,59,76,52,71
1870,2010,HONDA,ODYSSEY,70,72,69,74
1871,2010,HONDA,PILOT,76,78,73,74
1872,2010,HONDA,RIDGELINE,76,82,67,79
1873,2010,HYUNDAI,ELANTRA,63,72,62,74
1874,2010,HYUNDAI,ELANTRA GT,63,72,62,74
1875,2010,HYUNDAI,GENESIS,72,63,74,70
1876,2010,HYUNDAI,SANTA FE,65,66,65,77
1877,2010,HYUNDAI,SONATA,74,87,62,73
1878,2010,HYUNDAI,TUCSON,69,72,79,75
1879,2010,HYUNDAI,VERACRUZ,68,71,70,65
1880,2010,JAGUAR,XF,76,69,77,67
1881,2010,JEEP,COMPASS,56,67,65,71
1882,2010,JEEP,GRAND CHEROKEE,64,69,60,78
1883,2010,JEEP,LIBERTY,61,69,62,74
1884,2010,JEEP,PATRIOT,58,73,63,68
1885,2010,JEEP,WRANGLER,58,63,58,88
1886,2010,JEEP,WRANGLER UNLIMITED,58,63,58,88
1887,2010,KIA,FORTE,68,77,69,69
1888,2010,KIA,FORTE KOUP,68,77,69,69
1889,2010,KIA,SOUL,66,74,65,79
1890,2010,LINCOLN,MKS,81,84,68,66
1891,2010,LINCOLN,MKT,78,72,74,72
1892,2010,LINCOLN,MKX,78,78,66,72
1893,2010,LINCOLN,MKZ,83,90,65,69
1894,2010,LINCOLN,NAVIGATOR,82,81,61,73
1895,2010,LINCOLN,NAVIGATOR L,82,81,61,73
1896,2010,MAZDA,CX-7,66,75,68,64
1897,2010,MAZDA,CX-9,77,83,73,67
1898,2010,MAZDA,MX-5 MIATA,73,85,68,69
1899,2010,MAZDA,MAZDA3,74,81,72,72
1900,2010,MAZDA,MAZDA5,57,70,58,65
1901,2010,MAZDA,MAZDA6,74,82,67,71
